Unnamed: 0,elapsed,batch_size,num_nodes,edge_prob,repeats,model_name,embed_dim,num_heads,dropout,results_path
0,0.0017576217651367,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016713142395019,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016508102416992,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016398429870605,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016384124755859,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016469955444335,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016398429870605,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016329288482666,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016384124755859,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016398429870605,1,100,0.05,100,ET,64,2,0.0,./
0,0.001641035079956,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016367435455322,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016391277313232,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016345977783203,1,100,0.05,100,ET,64,2,0.0,./
0,0.001636266708374,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016367435455322,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016412734985351,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016441345214843,1,100,0.05,100,ET,64,2,0.0,./
0,0.001638650894165,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016326904296875,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016350746154785,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016405582427978,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016341209411621,1,100,0.05,100,ET,64,2,0.0,./
0,0.001636266708374,1,100,0.05,100,ET,64,2,0.0,./
0,0.001631736755371,1,100,0.05,100,ET,64,2,0.0,./
0,0.001638650894165,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016431808471679,1,100,0.05,100,ET,64,2,0.0,./
0,0.001659870147705,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016496181488037,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016329288482666,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016345977783203,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016376972198486,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016448497772216,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016393661499023,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016326904296875,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016348361968994,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016384124755859,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016407966613769,1,100,0.05,100,ET,64,2,0.0,./
0,0.001643419265747,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016455650329589,1,100,0.05,100,ET,64,2,0.0,./
0,0.0025355815887451,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016565322875976,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016331672668457,1,100,0.05,100,ET,64,2,0.0,./
0,0.001636266708374,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016357898712158,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016384124755859,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016381740570068,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016343593597412,1,100,0.05,100,ET,64,2,0.0,./
0,0.001636266708374,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016360282897949,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016391277313232,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016417503356933,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016400814056396,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016393661499023,1,100,0.05,100,ET,64,2,0.0,./
0,0.001636266708374,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016374588012695,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016348361968994,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016374588012695,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016307830810546,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016391277313232,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016314983367919,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016417503356933,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016374588012695,1,100,0.05,100,ET,64,2,0.0,./
0,0.001636266708374,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016300678253173,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016381740570068,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016474723815917,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016539096832275,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016520023345947,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016341209411621,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016412734985351,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016365051269531,1,100,0.05,100,ET,64,2,0.0,./
0,0.001641035079956,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016448497772216,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016365051269531,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016412734985351,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016334056854248,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016384124755859,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016336441040039,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016319751739501,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016367435455322,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016412734985351,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016365051269531,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016443729400634,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016467571258544,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016357898712158,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016419887542724,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016310214996337,1,100,0.05,100,ET,64,2,0.0,./
0,0.0016345977783203,1,100,0.05,100,ET,64,2,0.0,./
